name,primary_market,categories,address,city,state,zip,phone,rating,reviews,claimed,verified,profile_strength,website,independent,services,description,source,source_updated,markets
Mr. Electric of San Antonio,San Antonio,Electrical,"4729 Shavano Oak, San Antonio, TX 78249",San Antonio,TX,78249,210-468-1100,3.0,63,false,false,0,,,,Mr. Electric of San Antonio is a electrical company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
S.A. Total Tree Service,San Antonio,Tree Service,"San Antonio, TX",San Antonio,TX,,210-857-2006,5.0,1041,false,false,0,,,,S.A. Total Tree Service is a tree service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
3 Monkeys Tree Service,San Antonio,Tree Service,"San Antonio, TX",San Antonio,TX,,210-253-7777,4.9,543,false,false,0,,,,3 Monkeys Tree Service is a tree service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
"Action Tree Service, LLC",San Antonio,Tree Service,"212 Fleetwood Dr, San Antonio, TX 78232",San Antonio,TX,78232,210-551-1225,4.9,378,false,false,0,,,,"Action Tree Service, LLC is a tree service company included in Texas Rated coverage for the San Antonio market.",Public business listing snapshot,2026-08-28,San Antonio
Texas Sun Tree Services,San Antonio,Tree Service,"San Antonio, TX",San Antonio,TX,,726-226-3029,4.9,332,false,false,0,,,,Texas Sun Tree Services is a tree service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Mission City Arbor Group,San Antonio,Tree Service,"4366 Centergate St, San Antonio, TX 78217",San Antonio,TX,78217,210-934-6339,4.8,35,false,false,0,,,,Mission City Arbor Group is a tree service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Hole In One Lawns,San Antonio,Landscaping,"8911 Hardy Oak Blvd, San Antonio, TX 78258",San Antonio,TX,78258,830-714-2755,5.0,134,false,false,0,,,,Hole In One Lawns is a landscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Canopy Land Solutions,San Antonio,Landscaping,"11002 Cedar Elm Dr, San Antonio, TX 78230",San Antonio,TX,78230,218-595-7370,4.9,183,false,false,0,,,,Canopy Land Solutions is a landscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
LLB Landscaping,San Antonio,Landscaping,"San Antonio, TX",San Antonio,TX,,726-266-1777,5.0,104,false,false,0,,,,LLB Landscaping is a landscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
LAWN D.R LANDSCAPING AND IRRIGATION LLC,San Antonio,Landscaping,"535 W Hermosa Dr, San Antonio, TX 78212",San Antonio,TX,78212,210-994-2934,4.9,119,false,false,0,,,,LAWN D.R LANDSCAPING AND IRRIGATION LLC is a landscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Grounded Landscaping,San Antonio,Landscaping,"19035 Talavera Ridge, San Antonio, TX 78257",San Antonio,TX,78257,210-942-6819,4.9,88,false,false,0,,,,Grounded Landscaping is a landscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
System Pavers - San Antonio,San Antonio,Hardscaping,"18911 Hardy Oak Blvd Ste 193, San Antonio, TX 78258",San Antonio,TX,78258,830-319-7196,4.8,50,false,false,0,,,,System Pavers - San Antonio is a hardscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Sanchez Masonry,San Antonio,Hardscaping,"1431 W Hermosa, San Antonio, TX 78201",San Antonio,TX,78201,210-328-7738,4.9,54,false,false,0,,,,Sanchez Masonry is a hardscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
VHS Outdoor Living,San Antonio,Hardscaping,"14726 Bulverde Rd, San Antonio, TX 78247",San Antonio,TX,78247,210-287-7027,4.5,10,false,false,0,,,,VHS Outdoor Living is a hardscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Grenstone Landscaping & Masonry LLC,San Antonio,Hardscaping,"124 Jasmine Ln, San Antonio, TX 78237",San Antonio,TX,78237,210-537-5876,5.0,42,false,false,0,,,,Grenstone Landscaping & Masonry LLC is a hardscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Zion Landscape Co.,San Antonio,Hardscaping,"911 N Frio St Ste 200, San Antonio, TX 78207",San Antonio,TX,78207,210-279-1312,5.0,63,false,false,0,,,,Zion Landscape Co. is a hardscaping company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
OCD Cleaners - House Cleaning Service San Antonio,San Antonio,House Cleaning,"7607 Grissom Rd Ste 105, San Antonio, TX 78251",San Antonio,TX,78251,210-730-8067,4.9,1103,false,false,0,,,,OCD Cleaners - House Cleaning Service San Antonio is a house cleaning company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Maids on a Mission,San Antonio,House Cleaning,"10864 Gulfdale St, San Antonio, TX 78216",San Antonio,TX,78216,210-988-0288,4.8,12,false,false,0,,,,Maids on a Mission is a house cleaning company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Sparkly Maid San Antonio Cleaning Services,San Antonio,House Cleaning,"200 Main Plaza Ste 420, San Antonio, TX 78205",San Antonio,TX,78205,210-664-5052,4.9,339,false,false,0,,,,Sparkly Maid San Antonio Cleaning Services is a house cleaning company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
BB'z Housekeeping LLC,San Antonio,House Cleaning,"3507 Battlecry, San Antonio, TX 78245",San Antonio,TX,78245,210-982-5159,5.0,260,false,false,0,,,,BB'z Housekeeping LLC is a house cleaning company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Mom Needs A Break Cleaning,San Antonio,House Cleaning,"8620 N New Braunfels Ave, San Antonio, TX 78217",San Antonio,TX,78217,210-815-1399,4.8,393,false,false,0,,,,Mom Needs A Break Cleaning is a house cleaning company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Ace Handyman Services San Antonio,San Antonio,Handyman,"2556 Boardwalk St, San Antonio, TX 78217",San Antonio,TX,78217,726-217-7552,4.8,516,false,false,0,,,,Ace Handyman Services San Antonio is a handyman company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
PJP HANDYMAN San Antonio tx,San Antonio,Handyman,"San Antonio, TX",San Antonio,TX,,210-330-2820,4.9,283,false,false,0,,,,PJP HANDYMAN San Antonio tx is a handyman company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
"Handy Squad Home Services, Inc",San Antonio,Handyman,"10203 Kotzebue St Ste 103, San Antonio, TX 78217",San Antonio,TX,78217,210-222-2300,3.4,11,false,false,0,,,,"Handy Squad Home Services, Inc is a handyman company included in Texas Rated coverage for the San Antonio market.",Public business listing snapshot,2026-08-28,San Antonio
Fix-It-Freddy,San Antonio,Handyman,"8546 Broadway Ste 229, San Antonio, TX 78217",San Antonio,TX,78217,210-393-0551,4.9,60,false,false,0,,,,Fix-It-Freddy is a handyman company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Samuel's Handyman Service LLC,San Antonio,Handyman,"San Antonio, TX",San Antonio,TX,,210-895-1303,4.9,133,false,false,0,,,,Samuel's Handyman Service LLC is a handyman company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Bin There Dump That- San Antonio Dumpster Rental,San Antonio,Dumpster Rental,"838 Sprucewood Ln, San Antonio, TX 78216",San Antonio,TX,78216,210-441-2121,3.3,12,false,false,0,,,,Bin There Dump That- San Antonio Dumpster Rental is a dumpster rental company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
All Pro Junk Demolition & Dumpster Rentals,San Antonio,Dumpster Rental|Junk Removal,"San Antonio, TX",San Antonio,TX,,210-698-8000,4.9,283,false,false,0,,,,All Pro Junk Demolition & Dumpster Rentals is a dumpster rental company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
VaVia San Antonio,San Antonio,Dumpster Rental,"14726 Bulverde Rd, San Antonio, TX 78247",San Antonio,TX,78247,210-942-9186,5.0,142,false,false,0,,,,VaVia San Antonio is a dumpster rental company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
VaVia Easy Go,San Antonio,Dumpster Rental,"47 Worth Dr, Boerne, TX 78006",Boerne,TX,78006,210-791-6704,5.0,2,false,false,0,,,,VaVia Easy Go is a dumpster rental company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Bin There Dump That San Antonio,San Antonio,Dumpster Rental,"San Antonio, TX",San Antonio,TX,,210-441-2121,3.3,12,false,false,0,,,,Bin There Dump That San Antonio is a dumpster rental company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
1-800-GOT-JUNK? San Antonio,San Antonio,Junk Removal,"San Antonio, TX",San Antonio,TX,,726-262-0224,5.0,5479,false,false,0,,,,1-800-GOT-JUNK? San Antonio is a junk removal company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Junk King San Antonio,San Antonio,Junk Removal,"13515 Topper Cir, San Antonio, TX 78233",San Antonio,TX,78233,210-640-7241,4.5,86,false,false,0,,,,Junk King San Antonio is a junk removal company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
JunkStart Junk Removal,San Antonio,Junk Removal,"126 E Turbo Dr, San Antonio, TX 78216",San Antonio,TX,78216,210-934-3886,5.0,7,false,false,0,,,,JunkStart Junk Removal is a junk removal company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
210 Junk Removal,San Antonio,Junk Removal,"7258 Hickory Grove Dr, San Antonio, TX 78227",San Antonio,TX,78227,210-837-2697,5.0,566,false,false,0,,,,210 Junk Removal is a junk removal company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
X Out Pest Services - San Antonio,San Antonio,Pest Control,"8611 Honiley St, San Antonio, TX 78254",San Antonio,TX,78254,726-888-7020,4.9,233,false,false,0,,,,X Out Pest Services - San Antonio is a pest control company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Berrett Pest Control - San Antonio,San Antonio,Pest Control,"11116 Watt Cir, San Antonio, TX 78233",San Antonio,TX,78233,210-864-2390,4.9,4436,false,false,0,,,,Berrett Pest Control - San Antonio is a pest control company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Cerv Property Solutions San Antonio,San Antonio,Pest Control,"11549 Old Perrin Beitel Rd Ste 106, San Antonio, TX 78217",San Antonio,TX,78217,210-899-5771,5.0,1543,false,false,0,,,,Cerv Property Solutions San Antonio is a pest control company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Stride Pest Control,San Antonio,Pest Control,"3501 Pin Oak Dr #110, San Antonio, TX 78229",San Antonio,TX,78229,210-547-8410,4.7,15,false,false,0,,,,Stride Pest Control is a pest control company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Magna Pest Solutions / Cerv Property Solutions,San Antonio,Pest Control,"San Antonio, TX 78217",San Antonio,TX,78217,210-899-5771,5.0,1543,false,false,0,,,,Magna Pest Solutions / Cerv Property Solutions is a pest control company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Hollywood-Crawford Garage Doors and Openers,San Antonio,Garage Door,"11234 Gordon Rd, San Antonio, TX 78216",San Antonio,TX,78216,210-960-3150,4.7,87,false,false,0,,,,Hollywood-Crawford Garage Doors and Openers is a garage door company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Garage Door Specialists,San Antonio,Garage Door,"6923 W Loop 1604 N #202, San Antonio, TX 78254",San Antonio,TX,78254,210-361-3998,5.0,23,false,false,0,,,,Garage Door Specialists is a garage door company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Garage Door Masters,San Antonio,Garage Door,"2411 Canyon Rim, San Antonio, TX 78232",San Antonio,TX,78232,210-399-1709,4.8,16,false,false,0,,,,Garage Door Masters is a garage door company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Garage Door Repair Co.,San Antonio,Garage Door,"San Antonio, TX 78217",San Antonio,TX,78217,210-656-1043,5.0,603,false,false,0,,,,Garage Door Repair Co. is a garage door company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
R&L Overhead Door Inc,San Antonio,Garage Door,"7735 Montego Rd, San Antonio, TX 78250",San Antonio,TX,78250,210-688-2222,5.0,2,false,false,0,,,,R&L Overhead Door Inc is a garage door company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
River City Painting,San Antonio,Painting,"3500 Goliad Rd #155, San Antonio, TX 78223",San Antonio,TX,78223,210-800-4324,5.0,4,false,false,0,,,,River City Painting is a painting company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
That 1 Painter San Antonio,San Antonio,Painting,"Blakeley Dr, San Antonio, TX 78209",San Antonio,TX,78209,210-942-6662,4.7,20,false,false,0,,,,That 1 Painter San Antonio is a painting company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Magna Painting,San Antonio,Painting,"5407 Bandera Rd Suite 102A, San Antonio, TX 78238",San Antonio,TX,78238,830-532-7703,4.9,239,false,false,0,,,,Magna Painting is a painting company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Paper Moon Painting,San Antonio,Painting,"5616 I-10 Ste 103, San Antonio, TX 78201",San Antonio,TX,78201,210-610-2417,4.4,28,false,false,0,,,,Paper Moon Painting is a painting company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Paint Masters of Texas,San Antonio,Painting,"2313 Lockhill Selma Rd #229, San Antonio, TX 78230",San Antonio,TX,78230,210-979-0902,4.6,19,false,false,0,,,,Paint Masters of Texas is a painting company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Poolie,San Antonio,Pool Service,"4738 Center Park Blvd, San Antonio, TX 78218",San Antonio,TX,78218,210-405-5990,4.7,828,false,false,0,,,,Poolie is a pool service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Davis Pools,San Antonio,Pool Service,"San Antonio, TX",San Antonio,TX,,210-740-5317,5.0,264,false,false,0,,,,Davis Pools is a pool service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Blue Science,San Antonio,Pool Service,"10855 I-35, San Antonio, TX 78233",San Antonio,TX,78233,210-361-5006,4.6,309,false,false,0,,,,Blue Science is a pool service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Gary Pools,San Antonio,Pool Service,"6865 Camp Bullis Rd, San Antonio, TX 78256",San Antonio,TX,78256,210-791-7577,4.6,764,false,false,0,,,,Gary Pools is a pool service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
San Antonio Local Pool Maintenance,San Antonio,Pool Service,"1223 Austin Hwy, San Antonio, TX 78209",San Antonio,TX,78209,210-544-5510,4.9,94,false,false,0,,,,San Antonio Local Pool Maintenance is a pool service company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Veteran's Best Movers,San Antonio,Moving,"4152 Jung Rd, San Antonio, TX 78247",San Antonio,TX,78247,210-761-6595,5.0,1143,false,false,0,,,,Veteran's Best Movers is a moving company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Einstein Moving Company - San Antonio,San Antonio,Moving,"3400 Nacogdoches Rd, San Antonio, TX 78217",San Antonio,TX,78217,210-794-6753,4.8,226,false,false,0,,,,Einstein Moving Company - San Antonio is a moving company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Trailblazer Moving,San Antonio,Moving,"6325 San Pedro Ave Unit 4, San Antonio, TX 78216",San Antonio,TX,78216,210-491-9456,4.9,810,false,false,0,,,,Trailblazer Moving is a moving company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Get It Done Moving,San Antonio,Moving,"Schertz, TX",Schertz,TX,,210-361-7241,5.0,630,false,false,0,,,,Get It Done Moving is a moving company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
Veteran's Best Movers - Hillpoint,San Antonio,Moving,"10869 Hillpoint Dr, San Antonio, TX 78217",San Antonio,TX,78217,210-761-6595,4.8,61,false,false,0,,,,Veteran's Best Movers - Hillpoint is a moving company included in Texas Rated coverage for the San Antonio market.,Public business listing snapshot,2026-08-28,San Antonio
